time,mean,std,2,std,3,std,4,std,5,
600,12.5,0,15,0,15,0,15,0,15,0
700,12.5,0,15,0,15,0,12.5,0,10,0
800,7.5,0,5,0,7.5,0,5,0,5,0
900,7.5,0,5,0,7.5,0,5,0,5,0
1000,10,0,10,0,10,0,7.5,0,7.5,0
1100,10,0,10,0,10,0,10,0,10,0
1200,10,0,10,0,10,0,10,0,10,0
1300,10,0,10,0,10,0,10,0,10,0
1400,10,0,10,0,10,0,10,0,10,0
1500,10,0,10,0,10,0,10,0,10,0
1600,10,0,10,0,10,0,7.5,0,7.5,0
1700,7.5,0,5,0,7.5,0,5,0,5,0
1800,7.5,0,5,0,7.5,0,5,0,5,0
1900,7.5,0,5,0,7.5,0,5,0,5,0
2000,10,0,10,0,10,0,7.5,0,7.5,0
2100,10,0,10,0,10,0,10,0,10,0
2200,12.5,0,15,0,15,0,12.5,0,12.5,0
2300,12.5,0,15,0,15,0,15,0,15,0
