,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0
1,3.0,6.0,13.0,12.0,17.0,26.0,38.0,41.0,53.0,67.0,61.0,102.0,118.0,93.0,60.0,55.0,43.0,31.0
2,1.0,2.0,7.0,7.0,8.0,9.0,10.0,10.0,13.0,19.0,19.0,18.0,25.0,23.0,14.0,15.0,13.0,9.0
3,5.0,17.0,25.0,24.0,29.0,37.0,45.0,51.0,62.0,81.0,89.0,91.0,121.0,136.0,110.0,104.0,94.0,48.0
4,2.0,5.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,6.0,6.0,4.0,4.0,2.0,2.0,0.0,1.0,1.0
5,34.0,120.0,146.0,111.0,66.0,53.0,54.0,41.0,47.0,50.0,45.0,42.0,33.0,26.0,17.0,13.0,9.0,4.0
6,4.0,34.0,22.0,10.0,10.0,7.0,6.0,6.0,5.0,5.0,6.0,6.0,7.0,8.0,6.0,5.0,5.0,2.0
7,4.0,10.0,17.0,36.0,50.0,32.0,16.0,13.0,14.0,10.0,6.0,5.0,5.0,6.0,3.0,3.0,3.0,1.0
8,8.0,51.0,120.0,180.0,153.0,117.0,105.0,81.0,76.0,63.0,40.0,28.0,27.0,21.0,16.0,10.0,8.0,4.0
