case,average profit,average wating time,average renege,average net profit
0,-486159.1396999998,3.9867378866214738,0.0,-1823549.4767706299
1,-460954.1275999995,5.230383923410883,3.2,-2210294.4914713507
2,-449925.59009999986,5.203992320154875,3.07,-2192595.9889125046
3,-440143.9138999999,5.252237948603587,2.91,-2200591.376898292
4,-432426.0054999999,5.489097326339118,3.0,-2270897.4768422605
5,-419298.15280000004,5.5651751079919975,2.94,-2284023.590646969
6,-410516.7559999999,5.794275706593379,3.54,-2350278.26661457
7,-436684.6354000002,4.876826531839413,0.0,-2072270.474431193
8,-424730.5043,4.6257558510184875,0.53,-1974977.5650910435
9,-411652.11990000017,4.545648145034837,0.0,-1935512.9856724313
10,-387593.1578000001,5.796069071070788,3.1,-2330262.164963063
11,-342779.3682000002,5.9893943867002175,1.3,-2349976.604070468
12,-327271.3799999997,6.261715349320533,8.02,-2423625.602545153
best : 12,-327271.3799999997,6.261715349320533,8.02,-2423625.602545153
